date,price
2025-07-08 14:15:44.261382,0.1443
2025-07-09 14:15:44.261382,0.1419
2025-07-10 14:15:44.261382,0.1437
2025-07-11 14:15:44.261382,0.1348
2025-07-12 14:15:44.261382,0.1596
2025-07-13 14:15:44.261382,0.1389
2025-07-14 14:15:44.261382,0.1695
2025-07-15 14:15:44.261382,0.1519
2025-07-16 14:15:44.261382,0.1612
2025-07-17 14:15:44.261382,0.147
2025-07-18 14:15:44.261382,0.1572
2025-07-19 14:15:44.261382,0.1562
2025-07-20 14:15:44.261382,0.156
2025-07-21 14:15:44.261382,0.1614
2025-07-22 14:15:44.261382,0.1684
2025-07-23 14:15:44.261382,0.1459
2025-07-24 14:15:44.261382,0.1612
2025-07-25 14:15:44.261382,0.1463
2025-07-26 14:15:44.261382,0.1645
2025-07-27 14:15:44.261382,0.1696
2025-07-28 14:15:44.261382,0.159
2025-07-29 14:15:44.261382,0.1685
2025-07-30 14:15:44.261382,0.1654
2025-07-31 14:15:44.261382,0.1429
2025-08-01 14:15:44.261382,0.1472
2025-08-02 14:15:44.261382,0.1485
2025-08-03 14:15:44.261382,0.1718
2025-08-04 14:15:44.261382,0.1621
2025-08-05 14:15:44.261382,0.1669
2025-08-06 14:15:44.261382,0.1552
2025-08-07 14:15:44.261382,0.1688
2025-08-08 14:15:44.261382,0.1645
2025-08-09 14:15:44.261382,0.1658
2025-08-10 14:15:44.261382,0.1512
2025-08-11 14:15:44.261382,0.1702
2025-08-12 14:15:44.261382,0.1675
2025-08-13 14:15:44.261382,0.1732
2025-08-14 14:15:44.261382,0.1699
2025-08-15 14:15:44.261382,0.184
2025-08-16 14:15:44.261382,0.1566
2025-08-17 14:15:44.261382,0.1721
2025-08-18 14:15:44.261382,0.1635
2025-08-19 14:15:44.261382,0.1703
2025-08-20 14:15:44.261382,0.1658
2025-08-21 14:15:44.261382,0.1769
2025-08-22 14:15:44.261382,0.1799
2025-08-23 14:15:44.261382,0.172
2025-08-24 14:15:44.261382,0.1655
2025-08-25 14:15:44.261382,0.1735
2025-08-26 14:15:44.261382,0.1752
2025-08-27 14:15:44.261382,0.1501
2025-08-28 14:15:44.261382,0.1623
2025-08-29 14:15:44.261382,0.1736
2025-08-30 14:15:44.261382,0.1629
2025-08-31 14:15:44.261382,0.1584
2025-09-01 14:15:44.261382,0.1715
2025-09-02 14:15:44.261382,0.1728
2025-09-03 14:15:44.261382,0.1825
2025-09-04 14:15:44.261382,0.1542
2025-09-05 14:15:44.261382,0.1718
2025-09-06 14:15:44.261382,0.1772
2025-09-07 14:15:44.261382,0.1608
2025-09-08 14:15:44.261382,0.1609
