date,price
2025-07-08 14:15:44.258379,0.0975
2025-07-09 14:15:44.258379,0.0957
2025-07-10 14:15:44.258379,0.105
2025-07-11 14:15:44.258379,0.0926
2025-07-12 14:15:44.258379,0.0988
2025-07-13 14:15:44.258379,0.0968
2025-07-14 14:15:44.258379,0.1076
2025-07-15 14:15:44.258379,0.1074
2025-07-16 14:15:44.258379,0.1049
2025-07-17 14:15:44.258379,0.1033
2025-07-18 14:15:44.258379,0.1025
2025-07-19 14:15:44.258379,0.1026
2025-07-20 14:15:44.258379,0.1011
2025-07-21 14:15:44.258379,0.0985
2025-07-22 14:15:44.258379,0.1005
2025-07-23 14:15:44.258379,0.1122
2025-07-24 14:15:44.258379,0.1124
2025-07-25 14:15:44.258379,0.1071
2025-07-26 14:15:44.258379,0.113
2025-07-27 14:15:44.258379,0.1046
2025-07-28 14:15:44.258379,0.1026
2025-07-29 14:15:44.258379,0.1136
2025-07-30 14:15:44.258379,0.1143
2025-07-31 14:15:44.258379,0.1106
2025-08-01 14:15:44.258379,0.107
2025-08-02 14:15:44.258379,0.1106
2025-08-03 14:15:44.258379,0.1066
2025-08-04 14:15:44.258379,0.1077
2025-08-05 14:15:44.258379,0.108
2025-08-06 14:15:44.258379,0.1082
2025-08-07 14:15:44.258379,0.1017
2025-08-08 14:15:44.258379,0.0996
2025-08-09 14:15:44.258379,0.1012
2025-08-10 14:15:44.258379,0.1148
2025-08-11 14:15:44.258379,0.1048
2025-08-12 14:15:44.258379,0.1021
2025-08-13 14:15:44.258379,0.1108
2025-08-14 14:15:44.258379,0.1188
2025-08-15 14:15:44.258379,0.1096
2025-08-16 14:15:44.258379,0.1054
2025-08-17 14:15:44.258379,0.1031
2025-08-18 14:15:44.258379,0.1099
2025-08-19 14:15:44.258379,0.1177
2025-08-20 14:15:44.258379,0.1096
2025-08-21 14:15:44.258379,0.1088
2025-08-22 14:15:44.258379,0.1103
2025-08-23 14:15:44.258379,0.1159
2025-08-24 14:15:44.258379,0.1114
2025-08-25 14:15:44.258379,0.1186
2025-08-26 14:15:44.258379,0.1211
2025-08-27 14:15:44.258379,0.1063
2025-08-28 14:15:44.258379,0.1151
2025-08-29 14:15:44.258379,0.1145
2025-08-30 14:15:44.258379,0.1051
2025-08-31 14:15:44.258379,0.1121
2025-09-01 14:15:44.258379,0.112
2025-09-02 14:15:44.258379,0.1073
2025-09-03 14:15:44.258379,0.1136
2025-09-04 14:15:44.258379,0.1094
2025-09-05 14:15:44.258379,0.1129
2025-09-06 14:15:44.258379,0.1261
2025-09-07 14:15:44.258379,0.1236
2025-09-08 14:15:44.258379,0.1092
2025-09-09 14:15:44.258379,0.1137
2025-09-10 14:15:44.258379,0.1117
2025-09-11 14:15:44.258379,0.1147
2025-09-12 14:15:44.258379,0.1149
2025-09-13 14:15:44.258379,0.1153
2025-09-14 14:15:44.258379,0.1172
2025-09-15 14:15:44.258379,0.1136
2025-09-16 14:15:44.258379,0.1071
2025-09-17 14:15:44.258379,0.1146
2025-09-18 14:15:44.258379,0.1053
2025-09-19 14:15:44.258379,0.1217
2025-09-20 14:15:44.258379,0.1162
2025-09-21 14:15:44.258379,0.1186
2025-09-22 14:15:44.258379,0.1127
2025-09-23 14:15:44.258379,0.1175
2025-09-24 14:15:44.258379,0.1159
2025-09-25 14:15:44.258379,0.1183
2025-09-26 14:15:44.258379,0.1208
2025-09-27 14:15:44.258379,0.1178
2025-09-28 14:15:44.258379,0.1168
2025-09-29 14:15:44.258379,0.1145
2025-09-30 14:15:44.258379,0.1227
2025-10-01 14:15:44.258379,0.1226
2025-10-02 14:15:44.258379,0.1177
2025-10-03 14:15:44.258379,0.1172
2025-10-04 14:15:44.258379,0.1091
2025-10-05 14:15:44.258379,0.1144
2025-10-06 14:15:44.258379,0.1134
2025-10-07 14:15:44.258379,0.1289
2025-10-08 14:15:44.258379,0.1176
2025-10-09 14:15:44.258379,0.1102
2025-10-10 14:15:44.258379,0.1221
2025-10-11 14:15:44.258379,0.1154
2025-10-12 14:15:44.258379,0.1124
2025-10-13 14:15:44.258379,0.118
2025-10-14 14:15:44.258379,0.1106
2025-10-15 14:15:44.258379,0.1173
2025-10-16 14:15:44.258379,0.1147
2025-10-17 14:15:44.258379,0.1217
2025-10-18 14:15:44.258379,0.1224
2025-10-19 14:15:44.258379,0.1195
2025-10-20 14:15:44.258379,0.1265
2025-10-21 14:15:44.258379,0.1109
2025-10-22 14:15:44.258379,0.1131
2025-10-23 14:15:44.258379,0.1263
2025-10-24 14:15:44.258379,0.1045
2025-10-25 14:15:44.258379,0.1205
2025-10-26 14:15:44.258379,0.1127
2025-10-27 14:15:44.258379,0.1192
2025-10-28 14:15:44.258379,0.1189
2025-10-29 14:15:44.258379,0.1186
2025-10-30 14:15:44.258379,0.1243
2025-10-31 14:15:44.258379,0.1245
2025-11-01 14:15:44.258379,0.1121
2025-11-02 14:15:44.258379,0.1219
2025-11-03 14:15:44.258379,0.1289
2025-11-04 14:15:44.258379,0.1208
2025-11-05 14:15:44.258379,0.1212
2025-11-06 14:15:44.258379,0.1213
2025-11-07 14:15:44.258379,0.1165
2025-11-08 14:15:44.258379,0.1176
2025-11-09 14:15:44.258379,0.1236
2025-11-10 14:15:44.258379,0.1117
2025-11-11 14:15:44.258379,0.1096
2025-11-12 14:15:44.258379,0.1266
2025-11-13 14:15:44.258379,0.1197
2025-11-14 14:15:44.258379,0.1239
2025-11-15 14:15:44.258379,0.1214
2025-11-16 14:15:44.258379,0.1159
2025-11-17 14:15:44.258379,0.1157
2025-11-18 14:15:44.258379,0.1122
2025-11-19 14:15:44.258379,0.1194
2025-11-20 14:15:44.258379,0.1225
2025-11-21 14:15:44.258379,0.1056
2025-11-22 14:15:44.258379,0.1072
2025-11-23 14:15:44.258379,0.1085
2025-11-24 14:15:44.258379,0.1117
2025-11-25 14:15:44.258379,0.113
2025-11-26 14:15:44.258379,0.1206
2025-11-27 14:15:44.258379,0.117
2025-11-28 14:15:44.258379,0.1051
2025-11-29 14:15:44.258379,0.1083
2025-11-30 14:15:44.258379,0.1113
2025-12-01 14:15:44.258379,0.1231
2025-12-02 14:15:44.258379,0.1211
2025-12-03 14:15:44.258379,0.1103
2025-12-04 14:15:44.258379,0.1194
2025-12-05 14:15:44.258379,0.1089
2025-12-06 14:15:44.258379,0.1172
2025-12-07 14:15:44.258379,0.1207
2025-12-08 14:15:44.258379,0.1113
2025-12-09 14:15:44.258379,0.1103
2025-12-10 14:15:44.258379,0.1054
2025-12-11 14:15:44.258379,0.1072
2025-12-12 14:15:44.258379,0.1082
2025-12-13 14:15:44.258379,0.1114
2025-12-14 14:15:44.258379,0.1118
2025-12-15 14:15:44.258379,0.109
2025-12-16 14:15:44.258379,0.1127
2025-12-17 14:15:44.258379,0.105
2025-12-18 14:15:44.258379,0.1155
2025-12-19 14:15:44.258379,0.1169
2025-12-20 14:15:44.258379,0.1042
2025-12-21 14:15:44.258379,0.1098
2025-12-22 14:15:44.258379,0.107
2025-12-23 14:15:44.258379,0.1158
2025-12-24 14:15:44.258379,0.1163
