zone_id,date,volume,day_of_week
1,2025-07-08 14:15:44.265485,361.09,1
1,2025-07-09 14:15:44.265485,370.84,2
1,2025-07-10 14:15:44.265485,411.98,3
1,2025-07-11 14:15:44.265485,402.99,4
1,2025-07-12 14:15:44.265485,101.83,5
1,2025-07-13 14:15:44.265485,122.05,6
1,2025-07-14 14:15:44.265485,386.74,0
1,2025-07-15 14:15:44.265485,396.21,1
1,2025-07-16 14:15:44.265485,350.52,2
1,2025-07-17 14:15:44.265485,370.47,3
1,2025-07-18 14:15:44.265485,363.83,4
1,2025-07-19 14:15:44.265485,122.46,5
1,2025-07-20 14:15:44.265485,130.88,6
1,2025-07-21 14:15:44.265485,369.76,0
1,2025-07-22 14:15:44.265485,405.95,1
1,2025-07-23 14:15:44.265485,383.88,2
1,2025-07-24 14:15:44.265485,338.04,3
1,2025-07-25 14:15:44.265485,384.44,4
1,2025-07-26 14:15:44.265485,104.46,5
1,2025-07-27 14:15:44.265485,120.65,6
1,2025-07-28 14:15:44.265485,448.37,0
1,2025-07-29 14:15:44.265485,336.22,1
1,2025-07-30 14:15:44.265485,454.09,2
1,2025-07-31 14:15:44.265485,393.67,3
1,2025-08-01 14:15:44.265485,367.43,4
1,2025-08-02 14:15:44.265485,126.55,5
1,2025-08-03 14:15:44.265485,119.47,6
1,2025-08-04 14:15:44.265485,360.98,0
1,2025-08-05 14:15:44.265485,338.3,1
1,2025-08-06 14:15:44.265485,397.88,2
1,2025-08-07 14:15:44.265485,484.9,3
1,2025-08-08 14:15:44.265485,380.27,4
1,2025-08-09 14:15:44.265485,114.62,5
1,2025-08-10 14:15:44.265485,123.23,6
1,2025-08-11 14:15:44.265485,416.97,0
1,2025-08-12 14:15:44.265485,336.96,1
1,2025-08-13 14:15:44.265485,386.1,2
1,2025-08-14 14:15:44.265485,415.98,3
1,2025-08-15 14:15:44.265485,393.17,4
1,2025-08-16 14:15:44.265485,141.55,5
1,2025-08-17 14:15:44.265485,121.77,6
1,2025-08-18 14:15:44.265485,418.06,0
1,2025-08-19 14:15:44.265485,409.41,1
1,2025-08-20 14:15:44.265485,369.4,2
1,2025-08-21 14:15:44.265485,380.28,3
1,2025-08-22 14:15:44.265485,402.55,4
1,2025-08-23 14:15:44.265485,122.44,5
1,2025-08-24 14:15:44.265485,109.95,6
1,2025-08-25 14:15:44.265485,296.36,0
1,2025-08-26 14:15:44.265485,464.49,1
1,2025-08-27 14:15:44.265485,409.09,2
1,2025-08-28 14:15:44.265485,489.81,3
1,2025-08-29 14:15:44.265485,391.53,4
1,2025-08-30 14:15:44.265485,136.92,5
1,2025-08-31 14:15:44.265485,116.5,6
1,2025-09-01 14:15:44.265485,456.02,0
1,2025-09-02 14:15:44.265485,431.78,1
1,2025-09-03 14:15:44.265485,427.06,2
1,2025-09-04 14:15:44.265485,459.05,3
1,2025-09-05 14:15:44.265485,437.13,4
1,2025-09-06 14:15:44.265485,148.21,5
1,2025-09-07 14:15:44.265485,137.75,6
1,2025-09-08 14:15:44.265485,419.5,0
1,2025-09-09 14:15:44.265485,499.12,1
1,2025-09-10 14:15:44.265485,438.96,2
1,2025-09-11 14:15:44.265485,438.67,3
1,2025-09-12 14:15:44.265485,472.19,4
1,2025-09-13 14:15:44.265485,151.84,5
1,2025-09-14 14:15:44.265485,115.71,6
1,2025-09-15 14:15:44.265485,499.09,0
1,2025-09-16 14:15:44.265485,420.11,1
1,2025-09-17 14:15:44.265485,444.54,2
1,2025-09-18 14:15:44.265485,448.48,3
1,2025-09-19 14:15:44.265485,395.79,4
1,2025-09-20 14:15:44.265485,149.72,5
1,2025-09-21 14:15:44.265485,127.31,6
1,2025-09-22 14:15:44.265485,418.4,0
1,2025-09-23 14:15:44.265485,464.49,1
1,2025-09-24 14:15:44.265485,435.92,2
1,2025-09-25 14:15:44.265485,471.04,3
1,2025-09-26 14:15:44.265485,442.55,4
1,2025-09-27 14:15:44.265485,149.79,5
1,2025-09-28 14:15:44.265485,108.21,6
1,2025-09-29 14:15:44.265485,457.05,0
1,2025-09-30 14:15:44.265485,413.38,1
1,2025-10-01 14:15:44.265485,397.44,2
1,2025-10-02 14:15:44.265485,434.65,3
1,2025-10-03 14:15:44.265485,413.0,4
1,2025-10-04 14:15:44.265485,129.78,5
1,2025-10-05 14:15:44.265485,142.54,6
1,2025-10-06 14:15:44.265485,472.28,0
1,2025-10-07 14:15:44.265485,503.29,1
1,2025-10-08 14:15:44.265485,410.88,2
1,2025-10-09 14:15:44.265485,439.42,3
1,2025-10-10 14:15:44.265485,534.46,4
1,2025-10-11 14:15:44.265485,126.55,5
1,2025-10-12 14:15:44.265485,122.96,6
1,2025-10-13 14:15:44.265485,493.48,0
1,2025-10-14 14:15:44.265485,464.63,1
1,2025-10-15 14:15:44.265485,470.45,2
1,2025-10-16 14:15:44.265485,475.24,3
1,2025-10-17 14:15:44.265485,470.08,4
